smiles,standard_type,pPot,cid,tid
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1,IC50,5.920818753952375,CHEMBL3218002,203
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)NO)c4)cc23)c1,IC50,8.187086643357144,CHEMBL3218002,325
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(C=CC(=O)Nc5ccccc5N)c4)cc23)c1,IC50,7.387216143280264,CHEMBL3218001,325
C#Cc1cccc(Nc2ncnc3sc(-c4ccc(CO)cc4OC)cc23)c1,IC50,8.301029995663981,CHEMBL3758802,203
C#Cc1cccc(Nc2ncnc3sc(-c4ccccc4OC)cc23)c1,IC50,7.744727494896693,CHEMBL3416626,203
C#Cc1cccc(Nc2ncnc3sc(Br)cc23)c1,IC50,7.638272163982407,CHEMBL3416439,203
C#Cc1ccn2c(-c3ccnc(SC)n3)c(-c3ccc(F)cc3)nc2n1,IC50,5.600326278518962,CHEMBL3314272,260
C#Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,IC50,8.301029995663981,CHEMBL1650422,284
C#Cc1cncnc1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,IC50,7.070581074285707,CHEMBL205870,203
C#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1C,IC50,6.136677139879544,CHEMBL3120972,260
C#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)o1,IC50,5.747146969020107,CHEMBL3120973,260
C#Cc1nn(C2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,IC50,5.827105302247824,CHEMBL4071151,203
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(CN4CCSC4)ccc2-3)cs1)COc1ccccc1,IC50,7.619788758288394,CHEMBL224027,279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cccn4)ccc2-3)cs1)COc1ccccc1,IC50,7.698970004336019,CHEMBL224889,279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1,IC50,6.709965388637482,CHEMBL224834,279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnn4)ccc2-3)cs1)COc1ccccc1,IC50,6.906578314837764,CHEMBL224917,279
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1,IC50,7.207608310501746,CHEMBL224918,279
C(#Cc1cc(-c2n[nH]c3c2Cc2ccccc2-3)cs1)COc1ccccc1,IC50,5.329754146925875,CHEMBL389499,279
C(=CC1CCN(Cc2ccccc2)CC1)c1noc2ccccc12,IC50,6.679999195735272,CHEMBL126939,220
C(=CC[n+]1cccc2ccccc21)C[n+]1cccc2ccccc21,IC50,5.4604093769761874,CHEMBL1761998_CHEMBL1761999,220
C(=Cc1ccccc1)C(=NNc1nncc2ccccc12)c1ccccc1,IC50,8.2518119729938,CHEMBL3903713,203
C(=Cc1ccccc1)C(=NNc1nncc2ccccc12)c1ccccc1,IC50,9.3767507096021,CHEMBL3903713,279
C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,IC50,5.384997385475412,CHEMBL4796307,220
C(=NC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,5.6777807052660805,CHEMBL4537808,220
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(-c3ccccc3)nn2)cc1,IC50,6.045757490560675,CHEMBL4445026,220
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,IC50,5.978810700930062,CHEMBL4466829,220
C=C(C)C(=O)Cc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,IC50,8.79997073344623,CHEMBL508481,203
C=C(C)C(=O)Cc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,IC50,8.92009553233328,CHEMBL524132,203
C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1,IC50,8.244125144327509,CHEMBL437570,284
C=C(CCC(C)C1CCC2C(CCc3cc(O)ccc3C)C(=O)CCC12C)C(C)C,IC50,5.314258261397736,CHEMBL1922225,279
C=C(CCCCCCC(=O)NO)c1ccc2ccccc2c1,IC50,8.096910013008056,CHEMBL95535,325
C=C(CCCNC(=O)NC12CC3CC(CC(C3)C1)C2)OCCOCCOCC,IC50,7.173925197299173,CHEMBL2031948,2409
C=C(CN1CCOCC1)C(=O)Nc1ccc(NC(=O)Nc2ccc(-c3cc(C)nc4noc(N)c34)cc2)cc1C,IC50,6.777283528852417,CHEMBL4238294,279
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,IC50,5.568636235841012,CHEMBL114392,203
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,IC50,6.376750709602099,CHEMBL2047683,325
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,IC50,5.958607314841775,CHEMBL2047683,1865
C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,7.080921907623926,CHEMBL4439632,203
C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,6.863279432843593,CHEMBL4463634,203
C=C(Cl)C(=O)Nc1cc(Nc2ncc(Cl)c(N3CCc4sccc4C3)n2)c(OC)cc1N(C)CCN(C)C,IC50,7.016373712875465,CHEMBL5079081,203
C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,6.590066876668706,CHEMBL4441933,203
C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)cc3Cl)ncc2Cl)c1,IC50,6.521433504406157,CHEMBL4776073,203
C=C(Cl)C(=O)Nc1cccc(Nc2nc(Nc3ccc(N4CCN(C(C)=O)CC4)nc3)ncc2Cl)c1,IC50,6.886056647693163,CHEMBL4740234,203
C=C(F)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,IC50,7.187086643357144,CHEMBL4557772,203
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)cc1C=CC(=O)NO,IC50,5.301029995663981,CHEMBL4517272,1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)c(C=CC(=O)NO)cn2C,IC50,5.161150909262744,CHEMBL4448903,1865
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(C=CC(=O)NO)n2C,IC50,5.42021640338319,CHEMBL4460757,1865
C=C1CN(C)CCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)cc21,IC50,8.193820026016112,CHEMBL3263974,3717
C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21,IC50,5.318758762624412,CHEMBL4294949,325
C=C1CNCCc2ccc(Nc3ncc(Cl)c(Nc4ccccc4C(=O)NC)n3)cc21,IC50,8.214670164989233,CHEMBL3263973,3717
